name,experience,salary,region
Python разработчик,От 1 года до 3 лет,Не указана,Москва
Web-разработчик,От 1 года до 3 лет,80000 RUR,Владивосток
Backend Blockchain разработчик,От 1 года до 3 лет,150000 RUR,Москва
Kotlin/Java Developer,От 3 до 6 лет,Не указана,Москва
Python Developer middle+/senior,От 3 до 6 лет,Не указана,Москва
Программист / Разработчик на Python,От 1 года до 3 лет,Не указана,Москва
Backend Developer Junior+/Middle,От 1 года до 3 лет,80000 RUR,Санкт-Петербург
QA Engineer,От 1 года до 3 лет,Не указана,Москва
Разработчик Python,От 1 года до 3 лет,Не указана,Краснодар
Разработчик Web-проектов на PYTHON,От 1 года до 3 лет,55000 RUR,Лабинск
Системный аналитик (junior),Нет опыта,Не указана,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Тюмень
Junior Backend разработчик в офис,От 1 года до 3 лет,50000 RUR,Новочеркасск
Python-разработчик,От 3 до 6 лет,Не указана,Ижевск
"Middle+ Python Developer (FastAPI, GraphQL)",От 3 до 6 лет,Не указана,Москва
Golang Developer в команду VK Знакомства,От 1 года до 3 лет,Не указана,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Пенза
Тестировщик (QA),От 1 года до 3 лет,Не указана,Москва
Python developer \ Инженер-программист (TATLIN.FLEX),От 3 до 6 лет,Не указана,Санкт-Петербург
Разработчик / Developer,От 3 до 6 лет,Не указана,Москва
Python developer \ Инженер-программист (TATLIN.FLEX),От 3 до 6 лет,Не указана,Москва
Инженер по программированию БЛА,От 3 до 6 лет,160000 RUR,Москва
QA Engineer С++,От 1 года до 3 лет,Не указана,Санкт-Петербург
Разработчик Go,От 3 до 6 лет,Не указана,Москва
Руководитель центра разработки,От 3 до 6 лет,Не указана,Москва
Prompt-инженер,От 1 года до 3 лет,None RUR,Москва
Python разработчик,От 1 года до 3 лет,Не указана,Красноярск
Аналитик по маркетинговым исследованиям,От 3 до 6 лет,220000 RUR,Москва
Разработчик рекомендательных систем,От 1 года до 3 лет,Не указана,Москва
Frontend middle developer (next.js),От 1 года до 3 лет,3000 USD,Москва
Python developer \ Инженер-программист (TATLIN.FLEX),От 3 до 6 лет,Не указана,Нижний Новгород
Ведущий аналитик (антифрод),От 3 до 6 лет,Не указана,Москва
QA Automation Engineer at US-based Product Company,От 3 до 6 лет,3000 USD,Москва
Junior full-stack developer,Нет опыта,Не указана,Москва
"Аналитик базы данных, remote",От 3 до 6 лет,200000 RUR,Москва
Программист C++17 (разработка медицинского оборудования),От 3 до 6 лет,200000 RUR,Москва
DevOps-инженер,От 3 до 6 лет,Не указана,Калининград
Machine Learning Engineer / ML- разработчик,От 1 года до 3 лет,Не указана,Москва
Backend-разработчик,От 1 года до 3 лет,150000 RUR,Пермь
Python developer,От 1 года до 3 лет,Не указана,Брянск
DevOps инженер,От 3 до 6 лет,100000 RUR,Москва
BI Developer,От 1 года до 3 лет,Не указана,Москва
Middle Python Developer,От 1 года до 3 лет,Не указана,Санкт-Петербург
Разработчик голосовых и чат-ботов,От 1 года до 3 лет,Не указана,Уфа
